player,recent_form,surface_winrate
Jonah Braswell,0.44,0.7
Ryan Fishback,0.73,0.78
Max Dahlin,0.59,0.47
Oskar Jansson,0.84,0.92
Sebastian Eriksson,0.66,0.72
Timofei Derepasko,0.44,0.83
Aleksa Mardjonovic,0.4,0.95
Vit Kalina ,0.75,0.87
Nik Mikovic ,0.6,0.68
Nicolas Jadoun,0.54,0.88
Nicholas Heng,0.62,0.76
Enzo Aguiard,0.44,0.8
Parth Aggarwal,0.6,0.75
Kaya Arinc,0.56,0.56
Niksa Arsic,0.8,0.58
Lennon Roark Jones,0.49,0.71
Antonio Caruso,0.78,0.88
Credit Chaiyarin,0.65,0.65
Novak Novakovic,0.44,0.7
Pietro Orlando Fellin,0.88,0.6
Trevor Svajda,0.77,0.41
Alexander Stater,0.53,0.75
Zhenxiong Dong,0.69,0.71
Oskar Antinheimo,0.85,0.94
Victor Bini,0.87,0.68
Hesam Yazdi,0.77,0.69
Hanival Kahsay,0.76,0.56
Shaoyun Liu,0.54,0.45
Adam Neff,0.89,0.79
Konstantin Cucka,0.52,0.84
Alen Bill,0.44,0.88
Tymur Bieldiugin ,0.89,0.62
Davud Amirov,0.48,0.79
Mees Rottgering,0.66,0.54
Tianhui Zhang,0.63,0.54
Jungwoong Na,0.82,0.95
Weitao Xu,0.6,0.87
Ali Yazdani,0.65,0.54
Rostislav Halfinger,0.42,0.64
Rohan  Murali,0.5,0.71
Noah Zamora,0.82,0.41
Gal Emersic Potocnik,0.64,0.93
Hong Lin Fu,0.52,0.46
Gabriel Ghetu,0.58,0.85
Marko Maksimovic,0.54,0.94
Sebastian Sec,0.68,0.79
Roman Postolka,0.43,0.93
Semen Pankin,0.51,0.41
Adhithya Ganesan,0.58,0.6
Seungmin Park,0.86,0.66
Connor Bruce,0.71,0.83
Colton Smith,0.65,0.76
Manas Dhamne,0.5,0.8
Brayden Michna,0.68,0.48
Alejandro Moreno,0.86,0.86
James Connel ,0.68,0.85
Kai Brady,0.48,0.82
Tyler Stice,0.9,0.85
Jelani Sarr,0.65,0.52
Avery Tallakson,0.56,0.48
Christopher Papa,0.65,0.89
Antonio Prat,0.53,0.93
Luke Simkiss,0.42,0.63
Nathan Anthony Barki,0.84,0.65
Yassine Smiej,0.61,0.81
Nikos Lehmann,0.78,0.67
Thijs Boogaard,0.89,0.57
Twan Van Zijl,0.72,0.5
Enmanuel Munoz,0.75,0.41
Xing Dao Chen,0.87,0.72
Jiayang Dong,0.66,0.48
Tiago Pires,0.56,0.87
Marc Majdandzic,0.86,0.94
Yannik Kelm,0.43,0.65
Gonzalo Zeitune,0.51,0.46
Agustin Mastri,0.57,0.72
Rocco Valente,0.79,0.72
Enzo Lima,0.85,0.47
Vincent Marysko,0.63,0.76
Mika Lipp,0.54,0.57
Matei Todoran,0.58,0.87
Luca Preda,0.73,0.72
Enrico  Giacomini,0.48,0.64
Siwanat Auytayakul,0.67,0.93
Renlong Pang,0.69,0.67
Zoran Ludoski,0.75,0.89
Azuma Visaya,0.7,0.55
Karl Kazuma Lee,0.45,0.64
Aleksa Pisaric,0.74,0.45
Jeamoon Lee,0.41,0.63
Alvin Nicholas Tudorica,0.6,0.89
Ali Amiri,0.61,0.86
Amir Milushev,0.46,0.94
Patorn Hanchaikul,0.4,0.81
Junghee You,0.44,0.55
Benjamin Thomas George,0.62,0.49
Sasha Rozin,0.52,0.5
Changli Zhang,0.43,0.76
Justin Engel,0.53,0.61
Connor  Thomson,0.66,0.63
Gianluca Cadenasso ,0.77,0.87
Arda Azkara,0.61,0.8
Nicolas Herrero Cuesta,0.71,0.52
Alex Degabriele,0.7,0.49
Leon Schmidt,0.85,0.85
Daniel Milavsky,0.49,0.92
Jeremy Zhang,0.64,0.5
Luke Sorensen,0.72,0.92
Anton Shepp,0.66,0.64
Adam Panaras,0.63,0.9
Iker Urribarrens Ramirez,0.89,0.81
Syl Gaxherri,0.87,0.9
Juan Cruz Martin Manzano,0.71,0.75
Nuno Pinheiro,0.62,0.49
Diego Dedura Palomero,0.78,0.43
Jurriaan Bol,0.66,0.74
Stijn Paardekooper,0.9,0.43
Jip Van Assendelft,0.74,0.53
Stian Klaassen,0.43,0.51
Giulio Perego ,0.6,0.63
Gavin Young,0.77,0.73
Amit Vales,0.82,0.9
Itamar Tapiro,0.81,0.91
Alessandro Coccioli,0.89,0.94
Luis Carlos Alvarez,0.64,0.82
Aleksander Chayka,0.47,0.91
Sam Kydd Baumgartner,0.73,0.83
William Jucha,0.44,0.9
Jordan Chiu,0.89,0.46
Ye Hongyu,0.78,0.93
Calin Teodor Stirbu,0.89,0.53
Josue Guzman,0.59,0.71
Luka Vuglar,0.41,0.68
Abel Forger,0.66,0.71
Carlo Alberto Caniato ,0.46,0.79
Daniele Rapagnetta,0.74,0.7
Etienne Donnet,0.65,0.78
Filiberto Fumagalli,0.78,0.69
Denis Constantin Spiridon,0.55,0.41
Nikola Kolyachev,0.81,0.75
Marvin Schaber,0.73,0.71
David Fix,0.89,0.72
Lasse Poertner,0.49,0.4
Paul Werren,0.43,0.66
Karol Malirz,0.83,0.88
Henry Bernet,0.57,0.58
Juliusz Bienkiewicz,0.62,0.64
Markus Bolin,0.86,0.47
Chen Yu Lu,0.62,0.65
Wenfu Li,0.55,0.62
Ricardo Villacorta ,0.43,0.89
Jakub Filip,0.62,0.42
Kai I Wang,0.73,0.92
Leo Poupinel,0.53,0.72
Gustavo Ribeiro De Almeida,0.76,0.69
Mohammad Alkotop,0.64,0.89
Rodrigo Alujas ,0.83,0.51
Arthur Laborde,0.48,0.51
Lorenzo Angelini,0.78,0.88
Janos Fekete,0.87,0.91
Tino Kovacic,0.77,0.86
Vitek Horak,0.6,0.42
Jan Pleva,0.52,0.76
Jiri Cizek,0.45,0.65
Luca Matteo Sobbe,0.72,0.84
Enrico Giacomini,0.47,0.49
Karol Filar,0.82,0.91
Alejo Sanchez Quilez,0.88,0.58
Joaquin Aguilar Cardozo ,0.47,0.58
Loic Namigandet Tenguere,0.59,0.5
Goncalo Marques,0.87,0.4
Patrik Meszaros ,0.64,0.57
Ioannis Kountourakis ,0.67,0.48
Arthur Bonnaud,0.77,0.81
Alen Mujakic,0.51,0.82
Matei Florin Breazu,0.89,0.86
Yash Yadav,0.79,0.4
Sai Karteek Reddy Ganta,0.48,0.59
Leonardo Monferrer,0.46,0.4
Tomas Martinez,0.87,0.68
Jeremy Gschwendtner,0.74,0.9
Pengyu Lu,0.42,0.62
Ki Lung Ng,0.47,0.88
Mateo Luis Alvarez Sarmiento,0.42,0.92
Daniel Lara Salmeron,0.89,0.53
Rodrigo Fernandes,0.65,0.41
Kylian Collignon,0.63,0.81
Oskar Grzegorzewski,0.88,0.72
Fryderyk Lechno Wasiutynski,0.65,0.59
Dimitris Sakellaridis,0.66,0.6
Aaron Gil Garcia,0.89,0.44
Fabien Salle,0.46,0.88
Gabriele Volpi,0.89,0.53
Julian Desousa,0.48,0.45
Dominic Ducariu,0.64,0.83
Jorge Plans,0.57,0.67
Oliver Okonkwo,0.88,0.82
Nicolas Colne,0.64,0.9
Yanis Ghazouani Durand,0.41,0.61
Philip Hjorth,0.51,0.43
Gabriele Thomas Brancatelli,0.62,0.54
Fadi Bidan,0.74,0.43
Martim Simoes,0.68,0.48
Gabriele Vulpitta,0.82,0.87
Yaojie Zeng,0.81,0.92
Daniel Khazime ,0.7,0.77
Felix Mischker,0.69,0.8
Jake Bhangdia,0.54,0.8
Mustapha El Natour,0.88,0.47
Conor Gannon,0.44,0.43
Muhammad Shoaib,0.6,0.78
Freddy Murray,0.73,0.42
Darrshan Suresh,0.87,0.85
Toprak Avcibasi,0.65,0.73
Federico Aguilar Cardozo,0.85,0.46
Alberto Bronzetti,0.45,0.76
Preston Stearns,0.67,0.73
Noritaka Koizumi,0.56,0.61
Jin Gu,0.8,0.85
Zongbing Yu,0.62,0.57
Qiulin Wang,0.64,0.61
Petr Iamachkine,0.43,0.78
Ivan Kazakov,0.62,0.81
Shan Yuan Ou,0.44,0.55
Yanjie Zheng,0.55,0.41
Charles Chen,0.46,0.5
Volodymyr Iakubenko,0.57,0.54
Filippo Romano,0.51,0.9
Alvaro Bueno Gil,0.54,0.89
Jefferson Wendler Filho,0.47,0.76
Mubarak Shannan Zayid Alharrasi,0.62,0.79
Ammar Elamin,0.65,0.74
Zachary Viiala,0.82,0.83
Artur Kukasian,0.67,0.59
Tanguy Genier,0.51,0.7
Fabio De Michele,0.77,0.77
Sandro Cottino ,0.55,0.66
Linus Videhult,0.78,0.82
Iago Salvador Pita,0.59,0.91
Ruben Hartig,0.66,0.77
Ryuhei Azuma,0.65,0.44
Luca Lemaitre Vilchis,0.88,0.74
Alexander Razeghi,0.48,0.78
Juan Arturo Espanol Moreno,0.87,0.56
Drew Van Orderlain,0.68,0.58
Emiliano Aguilera Guerrero,0.9,0.73
Connor Thomson,0.69,0.79
Nicolo Consonni,0.73,0.88
Lance Amaury Lage Castelan,0.77,0.82
Kuang Qing Xu,0.81,0.47
Giorgi Giorgadze,0.64,0.59
Alex Finkelstein,0.74,0.48
Filippo Mazzola,0.71,0.82
Raphael Perot,0.6,0.55
Ritesh Patil,0.81,0.47
Cedric Stanke,0.5,0.45
Ronetto Van Tilburg,0.48,0.46
Nicola Rispoli,0.77,0.54
Sasha Trkulja,0.72,0.83
Nicolas Ian Kotzen,0.56,0.53
Segundo Goity Zapico,0.72,0.55
Natthayut Nithithananont,0.79,0.88
Tyler Stewart,0.51,0.64
Alexander Vlahos,0.69,0.68
Holden Koons,0.81,0.4
Leo Deflandre,0.61,0.45
Ignasi Forcano,0.69,0.81
Benjamin Ignacio Torres Fernandez,0.44,0.58
Jordi Garcia Mestre,0.82,0.48
Alex Bancila,0.8,0.64
Matei Cristian Onofrei,0.63,0.42
Amirkhamza Nasridinov,0.46,0.79
Pavlos Tsitsipas,0.73,0.44
Michal Lusovsky,0.69,0.43
Andreas Timini,0.86,0.63
Marco Berti,0.54,0.72
Gheorghe Claudiu Schinteie,0.42,0.82
Kevin Edengren,0.53,0.44
Harold Van Raemdonck ,0.61,0.58
Rafael Jodar,0.48,0.55
Albert Pedrico Kravtsov,0.89,0.81
Max Benaim,0.51,0.6
Filip Krolo,0.74,0.75
Adrien Berrut,0.63,0.67
Emilien Demanet,0.68,0.71
Manish Ganesh,0.87,0.6
Mason Naumovski,0.67,0.53
Paul Barbier Gazeu,0.55,0.43
Alejandro Bancalari,0.51,0.5
Fernando Cavallo,0.85,0.49
Ezequiel Monferrer,0.89,0.91
Jacopo Bilardo,0.53,0.92
Sam Thompson,0.76,0.54
Charlie Pade,0.65,0.46
Yuta Tomida,0.75,0.55
Shu Matsuoka,0.88,0.84
Milos Mikovic,0.54,0.88
Jay Dylan Hara Friend,0.77,0.68
Enrico Baldisserri,0.62,0.7
Ruslan Kastsiukevich,0.73,0.65
Thando Longwe Smit,0.6,0.5
Amirali Ghavam,0.75,0.43
Nathan Trouve,0.57,0.74
Amir Hossein Badi,0.64,0.84
Kasra Rahmani,0.75,0.81
Gokberk Saritas,0.42,0.9
Eric David Verdes,0.56,0.85
Mae Malige,0.67,0.56
Oscar Lacides,0.44,0.46
Ignacio Parisca,0.75,0.64
Jeremy Taylor,0.81,0.59
Kyle Overmyer,0.48,0.8
Joan Nadal Vives,0.77,0.44
Denis Petak,0.72,0.92
Juan Carlos Fuentes Vasquez,0.61,0.93
Diego Duran,0.48,0.45
Nicolai Budkov Kjaer,0.88,0.64
Benedict Badza,0.63,0.89
Kaipo Marshall,0.49,0.5
Kevin Humpfner,0.76,0.78
Charlie Robertson,0.7,0.79
Matthew Forbes,0.81,0.53
Ramiro Amarilla,0.9,0.4
Stiles Brockett,0.42,0.77
Tai Leonard Sach,0.77,0.74
Nicolas Ifi,0.89,0.76
Filippo Alberti,0.67,0.49
Felipe Pagnacco,0.76,0.73
Norbert Marosik,0.62,0.7
Leo Lagarrigue,0.58,0.65
Alaa Trifi,0.75,0.83
Valentin Kopeikin,0.89,0.61
Nicholas Campbell,0.45,0.59
Thomas Faurel,0.61,0.7
Zekai Li,0.87,0.92
Imran Daniel Abdul Hazli,0.46,0.59
Guelfo Borghini Baldovinetti,0.73,0.64
Yuquan Jin,0.62,0.55
Joaquim Almeida,0.59,0.77
Markus Malaszszak,0.5,0.6
Stefan Peter Hampe,0.49,0.78
Iannis Miletich,0.66,0.48
Juan Martin Fumeaux Buenaventura,0.59,0.55
Yerassyl Yerdilda,0.65,0.51
Aydan Gomez Osorio,0.5,0.83
Jasper Lai,0.58,0.45
Jarrod Joyce,0.9,0.54
Fabio Nestola,0.58,0.68
Nicolas Oliveira,0.61,0.45
Duje Markovina,0.41,0.41
Marcel Politowicz,0.59,0.78
Saba George Nanobashvili,0.78,0.74
Sebastian Olivera,0.66,0.4
Fabrizio Karol Pio Osti,0.73,0.43
Manuel Lazic,0.68,0.52
Dhruv Hirpara,0.45,0.9
Yuvan Nandal,0.57,0.76
Hitesh Chauhan,0.75,0.84
Yun Seong Chung,0.67,0.82
Mateo Martinovic,0.74,0.94
Jan Kumstat,0.58,0.92
Patrik Homola,0.5,0.44
Loan Lestir,0.81,0.41
Joseph Phillips,0.59,0.67
Milan Markovits,0.73,0.55
Benjamin Vitter,0.59,0.68
Max Stenzer,0.86,0.45
Luca Parenti,0.9,0.9
Kohei Hayashi,0.72,0.83
Benjamin Torrealba,0.7,0.7
Markus Molder,0.82,0.66
Louay Makke,0.66,0.66
Ivan Perez Martin ,0.83,0.74
Benoit Torcq,0.61,0.7
Bernardo Munk Mesa,0.42,0.67
Max Schoenhaus,0.86,0.77
Martin Sabas,0.76,0.82
Matteo Rocci,0.66,0.75
Dian Nedev,0.87,0.62
Cooper Woestendick,0.84,0.63
Mitchell Lee,0.45,0.45
Samuel Heredia,0.71,0.63
Niels Villard,0.67,0.83
Roger Pascual Ferra,0.79,0.44
Marino Jakic,0.55,0.5
Darius Florin Pop,0.4,0.86
Miguel Angel Alonso,0.49,0.71
Marco Alvarez,0.51,0.77
Facundo Bermejo,0.55,0.58
Matisse Farzam,0.59,0.67
Oliver Clark Anderson,0.75,0.82
Nicolas Garcia Longo,0.44,0.88
Salvador Price,0.64,0.94
Felipe Virgili Berini,0.65,0.87
Kacper Szymkowiak,0.71,0.44
Radu David Turcanu,0.56,0.59
Jerko Brkic,0.53,0.81
Marcos Lee Chan Baratau,0.64,0.63
Valentin Basel,0.73,0.64
Valentin Garay,0.42,0.84
Benjamin Chelia,0.55,0.86
Venedikt Tsirikidze,0.79,0.84
Kanan Gasimov,0.64,0.6
Andrea Paolini,0.88,0.53
Moritz Kudernatsch,0.83,0.6
Kenzo Koistila Larsson,0.57,0.79
Federico Valle,0.76,0.6
Rafael Ymer,0.54,0.43
Zhengyu Sun,0.49,0.84
Nocolas Alberto Jara Lozano,0.84,0.43
Lucca Guercio,0.58,0.95
Daniel Vishnick,0.5,0.87
Nico Hipfl,0.88,0.93
Filip Gabriel Bara,0.42,0.86
Lun Obrul,0.58,0.46
Antonio Voljavec,0.42,0.63
Ognjen Milic,0.65,0.9
Aleksandar Ljubojevic,0.6,0.45
Noa Vukadin,0.76,0.57
Corey Craig,0.88,0.66
Gabrielius Guzauskas,0.66,0.65
Vojtech Vales,0.54,0.92
Romain Gales,0.84,0.62
Hugo Ouzilou,0.7,0.53
Iker Sevilla,0.68,0.64
Yusaku Sugaya,0.49,0.62
Yusuke Kusuhara,0.42,0.74
Sungbeen Sim,0.63,0.95
Ryo Tabata,0.66,0.7
Ilyas Milad Fahim,0.46,0.65
Spencer Johnson,0.43,0.73
Xirui Han,0.51,0.94
Yannick Alexandrescou,0.43,0.74
Cezar Gabriel Papoe,0.43,0.47
Marko Nikolic,0.62,0.9
Lenny Petit,0.81,0.72
Ilgiz Valiev,0.73,0.49
Ammar Faleh Alhogbani,0.74,0.53
Kabeer Kapasi,0.53,0.47
Piotr Siekanowicz,0.41,0.93
Andrew Delgado,0.63,0.44
Spencer Gray,0.59,0.82
Jeong Heon Lee,0.87,0.59
Yong Joon Park,0.44,0.44
Junhyeon Lee,0.79,0.64
Igor Mandou Berranger,0.59,0.4
Matisse Bobichon,0.81,0.85
Peter Alam,0.65,0.7
Milosz Sroka,0.81,0.65
Nikita Filin,0.63,0.86
Daniel Uta,0.6,0.69
Jonas Gundacker,0.88,0.73
Keegan Rice,0.58,0.85
Olle Sonesson Lidholt,0.8,0.8
Izan Almazan Valiente,0.43,0.76
Roberto Chacon Huertas,0.43,0.79
Aadarsh Tripathi,0.62,0.54
Carlos Giraldi,0.69,0.46
John Bothma,0.7,0.74
Connor Henry Van Schalkwyk,0.42,0.52
Niels Ratiu,0.75,0.43
Ian Lucca Cervantes Tomas,0.46,0.54
Jack Cheng,0.88,0.8
Mika Petkovic,0.57,0.79
Thomas Gerbaud,0.53,0.9
Pierluigi Basile,0.55,0.77
Gabor Hornung,0.87,0.64
Rafael Kis Balazs,0.64,0.54
Lachlan Vickery,0.62,0.82
Photos Photiades,0.68,0.63
Ivan Kremenchutskyi,0.87,0.85
Timeo Gaillard,0.55,0.87
Liam Branger ,0.49,0.59
Mats Bredschneijder,0.7,0.59
Herman Hoeyeraal,0.65,0.9
Eyal Shumilov,0.43,0.62
Leo Matthysen,0.66,0.79
Luca Bluett,0.68,0.61
Marc Van Der Merwe,0.75,0.8
Bruno Kokot,0.9,0.5
Manel Lazaro Juncadella,0.61,0.86
Jackson Ross,0.66,0.94
Tilen Kovac,0.44,0.82
Duncan Chan,0.82,0.6
Emon Van Loben Sels,0.45,0.71
Timeo Bretin,0.87,0.77
Cyrus Mahjoob,0.57,0.51
Lucas Andrade Da Silva,0.57,0.56
Eduardo Lima,0.56,0.84
Hugo Coquelin,0.88,0.92
Tristan Stringer,0.89,0.55
Nikola Djosic,0.89,0.48
Tadeo Meneo,0.75,0.94
Luis Felipe Ferraz Sandoval Carvalho,0.46,0.58
Thanaphat Boosarawongse,0.59,0.83
Wally Thayne,0.54,0.61
Lautaro Agustin Corthey,0.75,0.92
Manvydas Balciunas,0.65,0.73
Aaron Funk,0.71,0.63
Alejandro Mateo Berge Nourescu,0.4,0.5
Tommaso Schold,0.79,0.54
Andres Santamarta Roig,0.88,0.87
Joao Dinis Silva,0.73,0.43
Afonso Portugal,0.83,0.49
Hoyoung Roh,0.64,0.51
Freddy Blaydes,0.41,0.44
Daniil Sarksian,0.9,0.78
Samuele Seghetti,0.43,0.94
Lorenzo Beraldo,0.5,0.48
Stefan Horia Haita,0.43,0.84
Amir Omarkhanov,0.71,0.5
Hugo Hashimoto,0.69,0.94
Evan Burnett,0.5,0.68
Juan Jose Bianchi,0.88,0.87
Alan Kam,0.86,0.49
Alejandro Hayen,0.54,0.89
Benjamin Zuniga Garcia,0.73,0.44
Nicolo Toffanin,0.83,0.41
Nicolas Arseneault,0.58,0.79
Stefan Latinovic,0.53,0.46
William Mroz,0.53,0.88
Rares Teodor Pieleanu,0.81,0.74
Louis Van Herck,0.63,0.58
Liam Delicata,0.76,0.55
Sebastian Grundtvig Jorgensen,0.73,0.45
Hugo Car,0.55,0.78
Karim Al Amin,0.5,0.9
Jonas Kucera,0.46,0.82
Rafael Alfonso De Alba Valdes,0.41,0.74
Mario Martinez Serrano,0.44,0.47
Theo Herrmann,0.53,0.86
Aayush P Bhat,0.76,0.93
Etienne Teboh,0.48,0.54
Aaron James Williams,0.66,0.63
Muni Ananth Mani,0.52,0.41
Aditya Balsekar,0.66,0.86
Isaac Nortey,0.78,0.41
Zaid Mashni,0.53,0.67
Daniel Sancho Arbizu,0.57,0.72
Alexander Maggs,0.76,0.43
Benjamin Gusic Wan,0.67,0.5
Lars Goran Verwerft,0.45,0.83
William Rejchtman Vinciguerra,0.78,0.54
Mateo Castaneda,0.54,0.8
Attila Dominik Boros,0.59,0.81
Timothy Carlsson Seger,0.52,0.62
Stefan Kostic,0.67,0.44
Edoardo De Filippo,0.75,0.41
Gian Gruenig,0.8,0.67
Kaua Lorenzo Santos Gava,0.86,0.44
Andre Steinbach,0.58,0.8
Bryan Hernandez Cortes,0.87,0.61
Nico Rating,0.71,0.78
David Eichenseher,0.59,0.62
Edoardo Cherie Ligniere,0.84,0.75
Jan Jermar,0.69,0.86
Przemyslaw Michocki,0.63,0.89
Vincent Rettke,0.41,0.41
Carson Baker,0.76,0.76
Matthew Thomson,0.44,0.71
William Manning,0.54,0.75
Ivan Ivanov,0.88,0.43
Lautaro Correa Beguerie,0.48,0.44
Georgi Georgiev,0.56,0.67
Enzo Kohlmann De Freitas,0.87,0.43
Nikita Bilozertsev,0.57,0.83
Felix Balshaw,0.56,0.82
Christopher Li,0.72,0.46
Sami Ben Abdennibi,0.47,0.65
Mihnea Maftei,0.89,0.73
Joao Portugal,0.54,0.87
Gregor Hausberger,0.79,0.94
Leonardo Cattaneo,0.54,0.41
Emil Rast,0.54,0.66
Hien Quang Hien Pham,0.43,0.84
Siu Chi Nicholas Cheng,0.46,0.84
Dario Huber,0.66,0.7
Cruz Hewitt,0.69,0.5
Martin Benes,0.81,0.71
Lucas Marionneau,0.43,0.62
Dominic West,0.58,0.63
Nicola Vidal,0.5,0.58
William Hsieh,0.58,0.48
Breno Rossetto Urvaneja,0.58,0.81
Cristian Campese,0.58,0.79
Jakub Jedrzejczak,0.55,0.7
Adam Jilly,0.78,0.6
Louis Larue,0.74,0.85
Hiromasa Koyama,0.57,0.49
Riku Takahata,0.47,0.64
Anas Bennour Dit Sahli,0.66,0.76
Yan Cheng Chen,0.86,0.85
Giacomo Crisostomo,0.46,0.76
Dheeraj Kodancha Srinivasan,0.78,0.46
Minghui Zhang,0.7,0.46
Dorian Tremblay,0.69,0.43
Alexander Bravo,0.87,0.71
Andrea Colombo,0.88,0.53
Andrea De Marchi,0.52,0.49
Dmitrii Shirokii,0.8,0.45
Mikhail Malakhovich,0.71,0.75
Maan Kesharwani,0.6,0.81
Michael Dylan Jimenez,0.73,0.87
Cade Birrell,0.88,0.73
Federico Garbero,0.66,0.59
Paul Ender,0.87,0.66
Carles Cordoba,0.72,0.75
Jose Dominguez Alonso,0.64,0.79
Samuel Alejandro Linde Palacios,0.72,0.75
Jagger Leach,0.7,0.93
Cosimo Banti,0.61,0.81
Moritz Hoffmann,0.68,0.81
Oliver Bonding,0.75,0.85
Charles Bertimon,0.82,0.65
Piet Luis Pinter,0.55,0.55
Anders Matta,0.41,0.85
Alex Santino Nunez Vera,0.68,0.66
Isaac Lhomond,0.64,0.73
Ludovico Vaccari,0.43,0.64
Raphael Vaksmann,0.72,0.62
Zachary Adam Gedge,0.87,0.77
Kiruthik Kalyaan As,0.6,0.77
Luis Garcia Paez,0.85,0.57
Adam Faragcao,0.81,0.5
Andrea Motta,0.48,0.47
Leonardo Primucci,0.79,0.46
Jack Kennedy,0.66,0.85
Luca Pow,0.86,0.56
Luke Casper,0.49,0.77
Pranav Karthik,0.46,0.56
Mikael Arseneault,0.52,0.77
Tarun Karra,0.43,0.94
Filippo Callerio,0.56,0.44
Matteo Covato,0.54,0.76
Billy Suarez,0.61,0.56
Yuto Oki,0.63,0.45
Shu Muto,0.47,0.44
Daniil Bogatov,0.71,0.6
Joe Leather,0.51,0.7
Daniel Verbeek,0.46,0.76
Bruno Nhavene,0.75,0.71
Artem Bogomolov,0.41,0.89
Kerem Yilmaz,0.58,0.48
Kazuki Sugimoto,0.47,0.86
Shion Itsusaki,0.84,0.69
Jan Klimas,0.81,0.87
Yuhei Kono,0.43,0.63
Oskari Paldanius,0.68,0.66
Marc Saura Moragrega,0.55,0.63
Alan Abdullin,0.5,0.45
Dmitry Bessonov,0.56,0.48
Kosuke Shibano,0.81,0.68
Botond Kisantal,0.43,0.69
Rethin Pranav Senthil Kumar,0.72,0.66
Leo Raquin,0.86,0.41
Sydney Zick,0.62,0.68
Miles Clark,0.85,0.47
Tobias Sonne,0.85,0.71
Matthew Harris,0.7,0.56
Daniel Domingos,0.63,0.95
Dean Thurner,0.77,0.6
Jacopo Vasami,0.86,0.85
Jim Hendrikx,0.74,0.54
Mathieu Josserand,0.5,0.5
Rodrigo Crespo Piedra,0.81,0.52
Tyler Bowers,0.88,0.58
Zack Vialla,0.61,0.87
Kaeri Hernandez Mariona,0.75,0.82
Francesco Cordova,0.66,0.64
Sergio Planella Hernandez,0.46,0.5
Benjamin Willwerth,0.57,0.43
Maximus Dussault,0.48,0.74
Noah Johnston,0.74,0.79
Mitchell Sheldon,0.69,0.73
Hiroki Sakagawa,0.42,0.68
Dylan Long,0.43,0.94
Victor Hugo Remondy Pagotto,0.53,0.41
Edoardo Santoni,0.77,0.94
Maximo Zeitune,0.46,0.55
Yubel Ubri,0.5,0.61
Alex Jones,0.85,0.81
Daniel Marincas,0.67,0.52
Guilherme Valdoleiros,0.71,0.79
Roberto Ferrer Guimaraes,0.63,0.58
Flynn Thomas,0.55,0.92
Elijah Cham,0.52,0.49
Stefan Cooper,0.69,0.91
Patricio Betancourt,0.64,0.84
Milledge Cossu,0.6,0.49
Dante Pagani,0.75,0.61
Felipe Dreer,0.6,0.46
Romeo Arcuschin,0.42,0.73
Dusan Baranec,0.82,0.93
Andres Delgadillo,0.56,0.44
Victor Braga,0.87,0.54
Ahmed Mouhan,0.84,0.82
Aditya Govila,0.52,0.65
Richard Mallory,0.88,0.59
Max Villar,0.83,0.73
Harry Pugh,0.89,0.56
Alessandro Battiston,0.74,0.58
Lucas Horve,0.87,0.84
Reuben De Klerk,0.75,0.62
Connor Doig,0.83,0.79
Pavlos Christoforakis,0.71,0.48
Rafael Segado Esteve,0.86,0.62
Nikola Jovic,0.66,0.7
Simeon Stankovic,0.77,0.55
Yua Taka,0.86,0.63
Dmitry Dolzhenkov,0.61,0.82
Andrea Meduri,0.41,0.49
Sam Wensley,0.46,0.68
Yari Bernardo,0.89,0.54
Christian Kawas,0.84,0.63
Samuel Martino,0.64,0.61
Alfredo Madrigal,0.88,0.76
Mario Santos Ramirez,0.49,0.82
Javier Sanchez,0.46,0.67
Sultan Khalfan,0.7,0.49
Sunil Kumar,0.59,0.88
Juan Ignacio Gonzalez Jimenez,0.57,0.5
Lorenzo Coll Rodriguez,0.77,0.72
Mario Tabares,0.48,0.69
Geoff Grant,0.79,0.56
Bernd Karbacher,0.58,0.92
Peter Madarassy,0.89,0.77
Philippe Pages,0.8,0.66
Bruno La Font,0.72,0.64
Marco Danelli,0.51,0.45
Nicholas Chisholm,0.88,0.83
Mohamed Ali Hassan,0.42,0.45
Ahmed Helal,0.51,0.51
Tamas Szepvolgyi,0.42,0.49
Michele Minelli,0.88,0.44
Bastian Grundler,0.84,0.86
Marko Budic,0.88,0.9
Anand Radhakrishnan,0.76,0.74
Ganesh Sundararaju,0.41,0.88
Stanley Pawlowski,0.87,0.77
Carl Hagman,0.61,0.78
Wim Neefs,0.58,0.89
William Barker,0.54,0.45
Vicente Castano Nicolas,0.54,0.43
Rolando Ruel,0.8,0.43
Alejandro Olivera,0.53,0.63
Pavel Baranov,0.51,0.92
Jorge Tejada,0.75,0.88
Luis Diego Nunez,0.54,0.83
Dentry Mortimer,0.41,0.62
Kerlin Leon Zamora,0.87,0.85
Reid Strand,0.56,0.52
Thomas Rusling,0.78,0.72
Tomas Anzari,0.63,0.81
Luke Jensen,0.47,0.45
Mark Gienke,0.73,0.88
Troy Hargreaves,0.52,0.8
Luka Kutanjac,0.54,0.69
Marcos Roy,0.42,0.43
Duc Quynh Tran,0.41,0.78
Samuel Fletcher,0.66,0.65
Claudio Rojas,0.43,0.81
Foivos Michalopoulos,0.5,0.42
Tim Schouten,0.86,0.72
Sian Yang,0.44,0.65
Tung Yi Kho,0.55,0.64
Jong Woong Yoon,0.76,0.68
Joey Blake,0.84,0.47
Bozidar Ivankovic,0.42,0.91
Alfonso De Toro Sanz,0.49,0.79
