player,age,height
John Bernard,34,188
Alexander Maarten Jong,37,179
Patrick Maloney,24,190
Andrea Militi Ribaldi,26,198
Mitsuki Wei Kang Leong,30,182
Casey Hoole,30,192
Vito Tonejc,34,193
Mateusz Kulakowski,29,192
Vasco Leote Prata,34,192
Fardeen Quamar,32,180
Tommy Czaplinski ,33,184
Stefano Dagostino,36,171
Damien Salvestre,32,175
Victor Paganetti,29,190
Qian Sun,20,180
Lewie Lane,20,184
Jakub Kroslak,34,178
Patrik Oplustil,35,181
Chathurya Nilaweera,31,195
Rushil Khosla,25,196
Petar Teodorovic,25,173
Gabriel Matuszewski,31,197
Piotr Kusiewicz,34,192
Mihai Alexandru Coman,23,196
Marko Andrejic,23,193
Andre Rodeia,21,183
Tiago Silva,31,191
Corey Gaal,26,172
Chen Dong,28,196
Thomas Pavlekovich Smith,28,190
Tai Sach,27,186
Arthur Neuhaus,33,199
Guillaume Dalmasso ,20,182
Pablo Carretero,31,177
Robin Erik Parts,21,181
Vladimir Bazilevskiy,32,181
Ofek Shimanov ,23,181
Matthias Ujvary,37,196
Niklas Waldner,35,171
Gian Matias Di Natale,33,198
Patrick Brady,27,179
Billy Blaydes,31,192
Lui Maxted ,28,178
Nick Lagaev,25,170
Pranav Kumar,37,198
Rohan Mehra,21,173
Ottaviano Martini,27,192
Walid Ahouda,33,183
Alessio Vasquez Gehrke,25,185
Mustafa Dustov,29,194
Oskar Brostrom Poulsen,27,187
Anders Grinderslev,36,171
Mikhail Dubrouski,31,175
Rakhimbek Ibrakhimov,36,172
Alexander Chepik,32,189
Aleksandr Lobanov,31,188
Aliaksey Matsiush,35,182
Yuki Mochizuki ,24,186
Nitzan Ricklis,35,183
Edison Ambarzumjan,25,199
Vesa Ahti,30,191
Luis Carlos Alvarez Valdes,36,180
Francisco Pini,33,185
Ishaan Ravichander,25,180
Yahir Emiliano Moheno,30,198
Kian Vakili,31,187
Francesco Liucci,32,171
Andrea Bacaloni,23,192
Manuel Mouilleron Salvo,26,190
Dragos Nicolae Cazacu,21,177
Cash Hanzlik,25,183
Felipe De Dios,25,171
Alessio Basile,37,182
Gilles Arnaud Bailly,27,179
Harold Huens,27,177
Nicolo Pozzani ,27,176
Giammarco Gandolfi,27,182
Jonas Schaer,20,195
Riccardo Mascarini,21,199
Ioan Alexandru Chirita,31,193
Philipp Pavlenko,34,196
Aditya Vishal Balsekar,23,188
Kalman Boyd,22,193
Seokhyeon Chu,33,184
Woobin Shin,27,191
Timothy Gray,32,171
Haesun Lee ,24,191
Nicolas Villalon Valdes,32,174
Joao Giannella,20,188
Stefan Menichella,35,170
Kenta Miyoshi,21,176
Finn Reynolds,26,187
Mika Brunold,25,170
Timofey Stepanov,24,170
Dylan Dietrich,23,176
Geni Inoue,21,197
Jangjun Kim,29,186
Juan Manuel La Serna,24,194
Linang Xiao,37,175
Mikolaj Lis,29,189
Tomasz Berkieta,34,181
Noah Schlagenhauf,28,189
Luka Mikrut,30,184
Victor Ernaelsteen,36,182
Vitor Leal,28,181
Rafael Tosetto,35,199
Seiya Nakanishi,25,190
Lorenzo Sciahbasi ,30,171
Pablo Masjuan Ginel,36,190
Leo Raquillet,23,187
Andrin Casanova,34,197
Pablo Trochu ,20,173
Stefan Adrian Andreescu,20,179
Alfred Almasi,28,180
Radovan Michalik,31,199
Tomas Lanik,23,190
Jonas Pelle Hartenstein,32,175
Maj Premzl,26,175
Karim Bennani,27,178
Yassine Dlimi,32,189
Ilya Rudiukov,30,182
Patrick Schoen,28,199
Mikel Martinez,35,174
Jacob Bradshaw,29,175
Alberto Odiseo Alvarado Berrospi,30,173
Victor Milare Alves,31,175
Lucca Pinto,33,187
Shunsuke Nakagawa,31,197
Asahi Harazaki,37,182
Ryusuke Horiuchi,36,192
Taki Adachi,22,172
Carlo Alberto Fossati,20,199
Richard Biagiotti,23,179
Cyril Respaut,35,173
Lorenzo Ferri,31,194
Asier Pascual De Zulueta,32,184
Alex Kuperstein,36,181
Tin Chen,27,184
Matt Hulme,32,198
Zaharije Zak Talic,24,190
Marc Antoine Gaillard ,37,194
Jaka Protic Zakelj ,34,195
Alen Moritz Hodzic,31,198
Martin Zeljenka,36,195
Tiago Pereira,34,179
Luca Wiedenmann,21,181
Diogo Morais,25,195
Stefano Papagno,36,191
Rei Sakamoto,35,177
Jesse De Jager,36,190
James Davis,28,190
Matic Kriznik,24,172
Mihail Ivanov,20,176
Hamish Stewart,25,187
Paul Spencer,33,196
Leanid Boika,36,197
Nicolas Kobelt,20,172
Matyas Cerny,20,184
Ryan Dickerson,32,171
Adrien Burdet,33,184
Junhyun Lee,25,182
Ignacio Martinez,25,193
Oscar Cutting,20,189
Ethan Cook,33,179
Derek Pham,22,193
Aidan Kim,29,193
Luis Francisco ,23,193
Alvaro Peiro Serrano,29,193
Alessio Demichelis,21,177
Gabriel Elicha Navas,23,185
Maxwell Mckennon,25,197
Alexander Frusina,26,194
Antoine Ghibaudo,35,185
Zelimir Rudan,26,171
Leo Vithoontien,37,178
Jan Kupcic,28,177
Andrew Rogers,29,180
Yannik Rahman,32,195
Jack Loge,37,170
Jack Karlsson Wistrand,35,199
Koki Matsuda,36,190
Jonathan Baron,32,180
Taym Al Azmeh,31,187
Sven Corbinais,29,195
Denis Constantin Spiridon ,20,190
Alessandro Bellifemine,27,198
Lucio Ratti,37,184
Tobia Grandinetti,21,193
Iliyan Radulov,35,178
Simon Reveniau,31,178
Joshua Goodger,28,170
Jaden Weekes,22,176
Luca Hesselmann,23,181
Alexandre Ruscica,21,196
Jack Loutit,27,193
Massimo Giunta,29,179
Rhys Searant,35,188
Dragos Petre Popeanga,30,198
Joao Fonseca,37,185
Francisco Tomas Geschwind,33,175
Pedro Rodrigues,27,180
Ricardo Batista,34,188
Ryan Augusto Dos Santos,36,194
Alessio Zanotti,37,198
Nicolas Hollender,25,188
Matteo Fondriest,33,187
Baoluo Zheng,22,194
Saveliy Ivanov,26,184
Nikola Basic,34,196
Emir Sutekin,35,198
Cihan Akay,35,185
Stevan Popovic,27,183
Esteban Davila Gasser,26,177
Sean Van Rensburg,25,177
Jeremy Jin,21,171
Oren Vasser,32,175
Jonathan Sorbo,31,182
Igor Dudun,34,182
Christopher Bulus,28,190
Tegar Abdi Satrio Wibowo,21,199
Marcus Mcdaniel,36,181
Asaf Friedler,24,171
Peter Buldorini,30,190
Federico Lucini,26,189
Gino Romano,21,194
Elbert Barr,35,181
Richard Zusman,31,186
Xian Yao Zhou,34,175
Matthew Rankin,20,176
Ruslan Tiukaev,32,197
Braden Shick,25,175
Fons Van Sambeek,32,190
Arthur Nagel ,37,197
Chirag Duhan,22,173
Shivank Bhatnagar,20,190
Gur Trakhtenberg,34,178
Mark Neyelov,32,174
Matthew Woerndle,24,179
Daniel Salazar Martinez,32,184
Micah Braswell,24,177
Sebastian Gorzny,37,192
Atakan Karahan,29,173
Raghav Jaisinghani,27,195
Sandesh Dattatray Kurale,34,174
Evan Sharygin,23,176
Sebastian Rodriguez,21,175
David Saye,25,182
Patrick Fletchall,22,188
Youssef Kadiri Hassani,26,179
Ozan Baris,29,184
Max  Sheldon,25,172
Jean Christian Morandais,35,187
Vito Dellelba,21,183
Miguel Angel Cabrera,36,172
Stefano Liokossis,32,180
Aleksandar Andic,20,179
Pavle Marinkov,25,198
Nicolas Villalon,24,186
Sergio Redondo Pereira,32,182
Rocco Piatti,37,194
Yujiro Onuma,31,171
Gabriel Schenekenberg,26,197
Vojtech Petr,34,182
Baran Soyler,22,188
Alberto Morolli,35,174
Antoine Berger,20,185
Brian Bozemoj,35,179
Andrei Duarte,31,181
Michal Krajci,27,189
Alexander Orlov,31,182
Hayato Matsuoka,34,190
Tom Paris,21,185
Noah Regas Luis,36,191
Matthew Summers,26,190
Nikita Ianin,32,195
James Watt,20,170
Corban Crowther,25,191
Iacopo Sada,32,178
Ali Habib,30,185
Arjun Mehrotra,29,188
Rob Reynolds,35,184
Ryotaro Taguchi,36,187
Matteo Lavizzari,36,191
Jisung Nam,23,181
Rudy Quan,24,183
Maximilian Figl,33,172
Naoya Honda,29,173
Henry Searle,33,175
Yaroslav Demin,20,185
Yusuf Khamis,30,197
David Quayle,37,182
Alexander Visser,35,181
Arman Zamani,37,191
Cameron Muller,27,181
Aurel Ciocanu,29,171
Marko Mesarovic,29,198
Tom Brown,24,182
Manuel Plunger,29,172
Tommaso Carnevale Miino,37,182
Martin Landaluce,25,194
Michele Ribecai,22,171
Karim El Feky,27,188
Alejandro Melero Kretzer ,28,178
Andrea Fiorentini,24,189
Anmar Faleh Alhogbani,21,170
Yi Zhou,21,196
Noah Perfetti,26,182
Bohua Dong,36,171
Maks Lukman,29,184
Noah Gabriel,31,188
Loann Massard ,21,194
Juan David Velasquez,29,194
Dinko Dinev,20,185
Joaquin  Aguilar Cardozo ,23,180
Scott Jones,32,184
Stepan Mruzek ,31,175
Omar Fields,30,183
Zhengqing Ji,29,196
Arslanbek Aitkulov,34,175
Max Batyutenko,24,188
Stepan Baum,36,174
Kabir Hans,24,180
Sina Moghimi,21,173
Lorenzo Carboni,28,195
Matej Dodig,25,195
Filip Apltauer,37,197
Samyar Elyasi,33,178
Thomas Patton,33,178
Hans Christian Bustiman Gonzalez,27,186
Zach Stephens,36,177
Vuk Radjenovic,22,184
Joel Schwaerzler,29,178
William Chase Thompson,36,174
Sergio Callejon Hernando,30,173
Nicolas Philibert,27,195
Thijmen Loof,20,189
Zhan Zheng,32,187
Danil Panarin,23,178
Adriano Dzhenev,26,190
Juan Estevez,33,196
Aryan Shah,24,172
Radomir Tomic,30,191
Alex Cairo,36,178
Joel Angel Lucero,24,178
Kane Bonsach Ganley,22,197
Grigory Shebekin,24,198
Nicholas Godsick,34,190
Joao Vitor Goncalves Ceolin,35,193
Tauheed Browning,27,173
Matthew Foster Estwick,32,190
Josip Simundza,35,176
Mikhail Gorokhov,22,176
Louis Bowden,20,198
Piet Steveker,28,192
Victor Tosetto,28,177
Bruno Fernandez,36,196
Henrique Costanzi De Brito,21,190
Mariano Dedura Palomero,28,170
Roy Horovitz,32,196
Mariano Tammaro,24,178
Marco Dessi,28,194
Jared Thompkins,32,192
Maxence Rivet,20,181
Benito Massacri,34,175
Youssef Labbene,23,182
Sasa Markovic,23,198
Maxwell Exsted,29,174
Erik Grevelius,25,190
Aleksei Mokrov,31,188
Oliver Ojakaar,35,195
Romeo Hadzimehmedovic ,22,170
Alejandro Juan Mano ,33,191
Gonzalo Ariel Karakachian,20,193
Guelfo Baldovinetti,29,199
Maxim Mrva,34,187
Eugenio Gonzalez Fitzmaurice,26,177
Mark Wallner,23,193
Tarik Bajrovic,33,195
Petr Brunclik,35,177
Andrej Radojicic,33,195
Will Mayew,22,184
Alexander Vasilev,36,188
Jonah Braswell,33,179
Ryan Fishback,37,193
Max Dahlin,22,185
Oskar Jansson,22,180
Sebastian Eriksson,31,181
Timofei Derepasko,24,185
Aleksa Mardjonovic,29,185
Vit Kalina ,28,197
Nik Mikovic ,20,199
Nicolas Jadoun,32,189
Nicholas Heng,22,172
Enzo Aguiard,30,196
Parth Aggarwal,35,178
Kaya Arinc,25,177
Niksa Arsic,22,179
Lennon Roark Jones,25,198
Antonio Caruso,27,182
Credit Chaiyarin,32,187
Novak Novakovic,31,182
Pietro Orlando Fellin,29,182
Trevor Svajda,22,184
Alexander Stater,23,182
Zhenxiong Dong,20,199
Oskar Antinheimo,32,185
Victor Bini,23,177
Hesam Yazdi,30,196
Hanival Kahsay,30,196
Shaoyun Liu,31,188
Adam Neff,30,179
Konstantin Cucka,25,181
Alen Bill,31,183
Tymur Bieldiugin ,28,175
Davud Amirov,29,190
Mees Rottgering,22,193
Tianhui Zhang,22,178
Jungwoong Na,35,196
Weitao Xu,22,176
Ali Yazdani,29,175
Rostislav Halfinger,30,191
Rohan  Murali,27,170
Noah Zamora,25,190
Gal Emersic Potocnik,30,183
Hong Lin Fu,31,193
Gabriel Ghetu,35,175
Marko Maksimovic,37,181
Sebastian Sec,32,186
Roman Postolka,22,174
Semen Pankin,34,198
Adhithya Ganesan,33,180
Seungmin Park,37,197
Connor Bruce,33,174
Colton Smith,24,181
Manas Dhamne,33,172
Brayden Michna,27,193
Alejandro Moreno,34,178
James Connel ,34,175
Kai Brady,25,191
Tyler Stice,27,171
Jelani Sarr,25,195
Avery Tallakson,34,171
Christopher Papa,22,191
Antonio Prat,29,181
Luke Simkiss,34,177
Nathan Anthony Barki,35,171
Yassine Smiej,36,178
Nikos Lehmann,30,198
Thijs Boogaard,35,185
Twan Van Zijl,24,197
Enmanuel Munoz,24,199
Xing Dao Chen,33,194
Jiayang Dong,37,184
Tiago Pires,27,183
Marc Majdandzic,24,189
Yannik Kelm,26,173
Gonzalo Zeitune,35,173
Agustin Mastri,33,180
Rocco Valente,24,190
Enzo Lima,28,193
Vincent Marysko,23,187
Mika Lipp,23,196
Matei Todoran,35,174
Luca Preda,36,199
Enrico  Giacomini,34,171
Siwanat Auytayakul,23,184
Renlong Pang,25,180
Zoran Ludoski,35,196
Azuma Visaya,23,193
Karl Kazuma Lee,25,186
Aleksa Pisaric,24,185
Jeamoon Lee,35,184
Alvin Nicholas Tudorica,35,192
Ali Amiri,29,172
Amir Milushev,28,189
Patorn Hanchaikul,23,199
Junghee You,33,184
Benjamin Thomas George,23,193
Sasha Rozin,31,188
Changli Zhang,29,197
Justin Engel,23,198
Connor  Thomson,37,182
Gianluca Cadenasso ,32,185
Arda Azkara,32,192
Nicolas Herrero Cuesta,33,181
Alex Degabriele,37,186
Leon Schmidt,20,185
Daniel Milavsky,35,178
Jeremy Zhang,34,198
Luke Sorensen,24,175
Anton Shepp,25,188
Adam Panaras,25,192
Iker Urribarrens Ramirez,22,182
Syl Gaxherri,35,190
Juan Cruz Martin Manzano,31,193
Nuno Pinheiro,23,177
Diego Dedura Palomero,20,181
Jurriaan Bol,23,178
Stijn Paardekooper,20,191
Jip Van Assendelft,27,173
Stian Klaassen,24,182
Giulio Perego ,21,171
Gavin Young,31,172
Amit Vales,36,174
Itamar Tapiro,26,193
Alessandro Coccioli,30,197
Luis Carlos Alvarez,23,195
Aleksander Chayka,24,187
Sam Kydd Baumgartner,25,190
William Jucha,30,183
Jordan Chiu,20,194
Ye Hongyu,29,171
Calin Teodor Stirbu,30,184
Josue Guzman,36,177
Luka Vuglar,27,185
Abel Forger,32,172
Carlo Alberto Caniato ,37,193
Daniele Rapagnetta,35,189
Etienne Donnet,21,189
Filiberto Fumagalli,24,197
Denis Constantin Spiridon,37,192
Nikola Kolyachev,22,174
Marvin Schaber,36,173
David Fix,35,192
Lasse Poertner,25,181
Paul Werren,26,188
Karol Malirz,37,184
Henry Bernet,33,194
Juliusz Bienkiewicz,25,199
Markus Bolin,27,182
Chen Yu Lu,34,174
Wenfu Li,34,181
Ricardo Villacorta ,34,188
Jakub Filip,35,171
Kai I Wang,20,176
Leo Poupinel,30,197
Gustavo Ribeiro De Almeida,24,192
Mohammad Alkotop,24,197
Rodrigo Alujas ,25,198
Arthur Laborde,21,174
Lorenzo Angelini,25,189
Janos Fekete,33,198
Tino Kovacic,30,180
Vitek Horak,23,187
Jan Pleva,28,187
Jiri Cizek,22,176
Luca Matteo Sobbe,35,179
Enrico Giacomini,30,192
Karol Filar,23,189
Alejo Sanchez Quilez,20,183
Joaquin Aguilar Cardozo ,35,189
Loic Namigandet Tenguere,35,189
Goncalo Marques,30,180
Patrik Meszaros ,27,171
Ioannis Kountourakis ,20,182
Arthur Bonnaud,28,182
Alen Mujakic,31,178
Matei Florin Breazu,27,186
Yash Yadav,36,184
Sai Karteek Reddy Ganta,29,193
Leonardo Monferrer,26,191
Tomas Martinez,25,198
Jeremy Gschwendtner,37,195
Pengyu Lu,34,192
Ki Lung Ng,21,197
Mateo Luis Alvarez Sarmiento,33,190
Daniel Lara Salmeron,29,191
Rodrigo Fernandes,35,191
Kylian Collignon,26,198
Oskar Grzegorzewski,27,185
Fryderyk Lechno Wasiutynski,29,194
Dimitris Sakellaridis,34,179
Aaron Gil Garcia,27,198
Fabien Salle,32,189
Gabriele Volpi,31,197
Julian Desousa,27,196
Dominic Ducariu,34,181
Jorge Plans,31,198
Oliver Okonkwo,30,174
Nicolas Colne,33,189
Yanis Ghazouani Durand,37,186
Philip Hjorth,32,179
Gabriele Thomas Brancatelli,23,175
Fadi Bidan,36,190
Martim Simoes,28,189
Gabriele Vulpitta,26,175
Yaojie Zeng,20,181
Daniel Khazime ,26,190
Felix Mischker,26,188
Jake Bhangdia,26,171
Mustapha El Natour,27,182
Conor Gannon,35,191
Muhammad Shoaib,22,189
Freddy Murray,32,180
Darrshan Suresh,29,184
Toprak Avcibasi,37,182
Federico Aguilar Cardozo,26,195
Alberto Bronzetti,24,172
Preston Stearns,26,183
Noritaka Koizumi,36,177
Jin Gu,23,197
Zongbing Yu,35,178
Qiulin Wang,29,184
Petr Iamachkine,22,192
Ivan Kazakov,22,187
Shan Yuan Ou,36,177
Yanjie Zheng,29,180
Charles Chen,36,198
Volodymyr Iakubenko,36,198
Filippo Romano,23,196
Alvaro Bueno Gil,25,174
Jefferson Wendler Filho,31,184
Mubarak Shannan Zayid Alharrasi,36,184
Ammar Elamin,36,196
Zachary Viiala,29,195
Artur Kukasian,26,176
Tanguy Genier,35,190
Fabio De Michele,32,187
Sandro Cottino ,22,197
Linus Videhult,21,181
Iago Salvador Pita,35,181
Ruben Hartig,25,173
Ryuhei Azuma,25,198
Luca Lemaitre Vilchis,32,180
Alexander Razeghi,26,190
Juan Arturo Espanol Moreno,24,175
Drew Van Orderlain,26,190
Emiliano Aguilera Guerrero,21,179
Connor Thomson,36,196
Nicolo Consonni,32,184
Lance Amaury Lage Castelan,35,170
Kuang Qing Xu,21,186
Giorgi Giorgadze,24,172
Alex Finkelstein,37,194
Filippo Mazzola,26,180
Raphael Perot,30,187
Ritesh Patil,30,179
Cedric Stanke,36,190
Ronetto Van Tilburg,35,178
Nicola Rispoli,32,176
Sasha Trkulja,24,180
Nicolas Ian Kotzen,35,177
Segundo Goity Zapico,35,171
Natthayut Nithithananont,35,174
Tyler Stewart,33,178
Alexander Vlahos,25,170
Holden Koons,21,186
Leo Deflandre,33,179
Ignasi Forcano,35,177
Benjamin Ignacio Torres Fernandez,32,187
Jordi Garcia Mestre,34,194
Alex Bancila,31,179
Matei Cristian Onofrei,28,178
Amirkhamza Nasridinov,37,173
Pavlos Tsitsipas,33,171
Michal Lusovsky,23,188
Andreas Timini,27,179
Marco Berti,27,186
Gheorghe Claudiu Schinteie,35,172
Kevin Edengren,29,190
Harold Van Raemdonck ,36,188
Rafael Jodar,20,188
Albert Pedrico Kravtsov,37,195
Max Benaim,29,191
Filip Krolo,23,188
Adrien Berrut,20,188
Emilien Demanet,23,184
Manish Ganesh,23,194
Mason Naumovski,23,187
Paul Barbier Gazeu,36,186
Alejandro Bancalari,28,179
Fernando Cavallo,32,193
Ezequiel Monferrer,23,198
Jacopo Bilardo,24,183
Sam Thompson,32,188
Charlie Pade,35,192
Yuta Tomida,24,187
Shu Matsuoka,27,180
Milos Mikovic,35,180
Jay Dylan Hara Friend,20,181
Enrico Baldisserri,25,177
Ruslan Kastsiukevich,30,185
Thando Longwe Smit,35,194
Amirali Ghavam,24,193
Nathan Trouve,35,177
Amir Hossein Badi,26,193
Kasra Rahmani,20,183
Gokberk Saritas,28,192
Eric David Verdes,37,187
Mae Malige,32,193
Oscar Lacides,34,190
Ignacio Parisca,22,191
Jeremy Taylor,29,173
Kyle Overmyer,28,186
Joan Nadal Vives,32,182
Denis Petak,35,174
Juan Carlos Fuentes Vasquez,22,172
Diego Duran,34,178
Nicolai Budkov Kjaer,36,189
Benedict Badza,33,195
Kaipo Marshall,26,187
Kevin Humpfner,35,189
Charlie Robertson,27,188
Matthew Forbes,23,188
Ramiro Amarilla,34,190
Stiles Brockett,24,185
Tai Leonard Sach,32,170
Nicolas Ifi,25,174
Filippo Alberti,24,193
Felipe Pagnacco,36,184
Norbert Marosik,26,195
Leo Lagarrigue,25,181
Alaa Trifi,21,194
Valentin Kopeikin,30,197
Nicholas Campbell,26,170
Thomas Faurel,27,183
Zekai Li,24,187
Imran Daniel Abdul Hazli,37,187
Guelfo Borghini Baldovinetti,35,175
Yuquan Jin,33,170
Joaquim Almeida,31,196
Markus Malaszszak,36,186
Stefan Peter Hampe,24,187
Iannis Miletich,33,184
Juan Martin Fumeaux Buenaventura,25,181
Yerassyl Yerdilda,34,182
Aydan Gomez Osorio,26,189
Jasper Lai,33,171
Jarrod Joyce,37,173
Fabio Nestola,20,172
Nicolas Oliveira,25,188
Duje Markovina,22,194
Marcel Politowicz,24,177
Saba George Nanobashvili,31,181
Sebastian Olivera,30,181
Fabrizio Karol Pio Osti,32,179
Manuel Lazic,35,194
Dhruv Hirpara,37,170
Yuvan Nandal,36,197
Hitesh Chauhan,36,174
Yun Seong Chung,30,197
Mateo Martinovic,29,197
Jan Kumstat,35,189
Patrik Homola,21,180
Loan Lestir,36,199
Joseph Phillips,29,178
Milan Markovits,32,183
Benjamin Vitter,31,172
Max Stenzer,34,174
Luca Parenti,26,193
Kohei Hayashi,32,195
Benjamin Torrealba,31,190
Markus Molder,31,178
Louay Makke,21,187
Ivan Perez Martin ,24,175
Benoit Torcq,21,190
Bernardo Munk Mesa,32,194
Max Schoenhaus,22,176
Martin Sabas,30,185
Matteo Rocci,35,177
Dian Nedev,20,192
Cooper Woestendick,30,198
Mitchell Lee,28,179
Samuel Heredia,33,195
Niels Villard,28,174
Roger Pascual Ferra,26,180
Marino Jakic,35,198
Darius Florin Pop,22,199
Miguel Angel Alonso,23,190
Marco Alvarez,26,182
Facundo Bermejo,31,196
Matisse Farzam,37,189
Oliver Clark Anderson,24,171
Nicolas Garcia Longo,29,183
Salvador Price,31,178
Felipe Virgili Berini,27,179
Kacper Szymkowiak,34,179
Radu David Turcanu,20,197
Jerko Brkic,22,179
Marcos Lee Chan Baratau,37,195
Valentin Basel,37,188
Valentin Garay,21,180
Benjamin Chelia,24,180
Venedikt Tsirikidze,20,172
Kanan Gasimov,29,188
Andrea Paolini,29,193
Moritz Kudernatsch,24,191
Kenzo Koistila Larsson,37,170
Federico Valle,34,181
Rafael Ymer,27,198
Zhengyu Sun,36,184
Nocolas Alberto Jara Lozano,31,183
Lucca Guercio,31,172
Daniel Vishnick,20,189
Nico Hipfl,23,182
Filip Gabriel Bara,27,187
Lun Obrul,20,185
Antonio Voljavec,34,175
Ognjen Milic,37,179
Aleksandar Ljubojevic,20,197
Noa Vukadin,30,186
Corey Craig,21,186
Gabrielius Guzauskas,20,177
Vojtech Vales,31,173
Romain Gales,35,184
Hugo Ouzilou,29,170
Iker Sevilla,37,176
Yusaku Sugaya,34,194
Yusuke Kusuhara,36,179
Sungbeen Sim,29,176
Ryo Tabata,22,170
Ilyas Milad Fahim,35,186
Spencer Johnson,25,181
Xirui Han,22,186
Yannick Alexandrescou,28,184
Cezar Gabriel Papoe,30,193
Marko Nikolic,32,185
Lenny Petit,37,192
Ilgiz Valiev,23,183
Ammar Faleh Alhogbani,27,172
Kabeer Kapasi,32,188
Piotr Siekanowicz,29,181
Andrew Delgado,21,188
Spencer Gray,27,187
Jeong Heon Lee,25,199
Yong Joon Park,35,183
Junhyeon Lee,37,189
Igor Mandou Berranger,36,192
Matisse Bobichon,25,178
Peter Alam,32,172
Milosz Sroka,33,195
Nikita Filin,29,192
Daniel Uta,30,181
Jonas Gundacker,32,189
Keegan Rice,31,186
Olle Sonesson Lidholt,28,174
Izan Almazan Valiente,23,177
Roberto Chacon Huertas,26,188
Aadarsh Tripathi,21,195
Carlos Giraldi,26,173
John Bothma,28,184
Connor Henry Van Schalkwyk,24,188
Niels Ratiu,34,184
Ian Lucca Cervantes Tomas,37,195
Jack Cheng,23,183
Mika Petkovic,26,199
Thomas Gerbaud,27,185
Pierluigi Basile,36,193
Gabor Hornung,32,179
Rafael Kis Balazs,30,193
Lachlan Vickery,20,183
Photos Photiades,21,189
Ivan Kremenchutskyi,36,180
Timeo Gaillard,24,171
Liam Branger ,25,197
Mats Bredschneijder,26,188
Herman Hoeyeraal,34,172
Eyal Shumilov,35,173
Leo Matthysen,32,180
Luca Bluett,24,182
Marc Van Der Merwe,22,187
Bruno Kokot,22,187
Manel Lazaro Juncadella,33,188
Jackson Ross,35,181
Tilen Kovac,36,170
Duncan Chan,23,193
Emon Van Loben Sels,32,175
Timeo Bretin,27,172
Cyrus Mahjoob,24,186
Lucas Andrade Da Silva,21,172
Eduardo Lima,34,170
Hugo Coquelin,21,172
Tristan Stringer,30,173
Nikola Djosic,32,175
Tadeo Meneo,29,176
Luis Felipe Ferraz Sandoval Carvalho,22,192
Thanaphat Boosarawongse,24,194
Wally Thayne,22,177
Lautaro Agustin Corthey,25,182
Manvydas Balciunas,32,173
Aaron Funk,29,175
Alejandro Mateo Berge Nourescu,27,180
Tommaso Schold,37,170
Andres Santamarta Roig,22,177
Joao Dinis Silva,36,191
Afonso Portugal,27,171
Hoyoung Roh,29,177
Freddy Blaydes,21,189
Daniil Sarksian,31,178
Samuele Seghetti,25,173
Lorenzo Beraldo,21,186
Stefan Horia Haita,22,176
Amir Omarkhanov,36,179
Hugo Hashimoto,26,174
Evan Burnett,24,179
Juan Jose Bianchi,20,196
Alan Kam,27,181
Alejandro Hayen,31,190
Benjamin Zuniga Garcia,33,189
Nicolo Toffanin,35,175
Nicolas Arseneault,29,170
Stefan Latinovic,34,172
William Mroz,34,196
Rares Teodor Pieleanu,29,197
Louis Van Herck,26,176
Liam Delicata,22,180
Sebastian Grundtvig Jorgensen,21,193
Hugo Car,25,181
Karim Al Amin,28,178
Jonas Kucera,29,170
Rafael Alfonso De Alba Valdes,23,173
Mario Martinez Serrano,22,171
Theo Herrmann,28,171
Aayush P Bhat,36,186
Etienne Teboh,33,190
Aaron James Williams,29,171
Muni Ananth Mani,32,173
Aditya Balsekar,31,194
Isaac Nortey,20,180
Zaid Mashni,25,188
Daniel Sancho Arbizu,32,193
Alexander Maggs,32,195
Benjamin Gusic Wan,23,182
Lars Goran Verwerft,21,191
William Rejchtman Vinciguerra,34,195
Mateo Castaneda,31,190
Attila Dominik Boros,26,187
Timothy Carlsson Seger,37,196
Stefan Kostic,32,198
Edoardo De Filippo,36,188
Gian Gruenig,23,193
Kaua Lorenzo Santos Gava,33,184
Andre Steinbach,32,197
Bryan Hernandez Cortes,22,181
Nico Rating,37,194
David Eichenseher,33,180
Edoardo Cherie Ligniere,34,196
Jan Jermar,22,192
Przemyslaw Michocki,20,170
Vincent Rettke,36,185
Carson Baker,22,197
Matthew Thomson,33,197
William Manning,22,182
Ivan Ivanov,32,198
Lautaro Correa Beguerie,34,175
Georgi Georgiev,37,192
Enzo Kohlmann De Freitas,33,197
Nikita Bilozertsev,22,175
Felix Balshaw,27,179
Christopher Li,23,196
Sami Ben Abdennibi,23,198
Mihnea Maftei,30,171
Joao Portugal,20,198
Gregor Hausberger,27,194
Leonardo Cattaneo,34,172
Emil Rast,20,175
Hien Quang Hien Pham,26,185
Siu Chi Nicholas Cheng,30,175
Dario Huber,33,193
Cruz Hewitt,35,182
Martin Benes,33,173
Lucas Marionneau,31,184
Dominic West,36,175
Nicola Vidal,33,170
William Hsieh,29,178
Breno Rossetto Urvaneja,33,181
Cristian Campese,37,194
Jakub Jedrzejczak,28,192
Adam Jilly,36,180
Louis Larue,25,182
Hiromasa Koyama,27,170
Riku Takahata,32,188
Anas Bennour Dit Sahli,37,197
Yan Cheng Chen,24,190
Giacomo Crisostomo,25,173
Dheeraj Kodancha Srinivasan,23,174
Minghui Zhang,26,192
Dorian Tremblay,23,194
Alexander Bravo,30,186
Andrea Colombo,31,174
Andrea De Marchi,33,188
Dmitrii Shirokii,32,172
